Attrition,Age,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research...Development,Department_Sales,Education_Below.College,Education_College,Education_Doctor,Education_Master,EducationField_Life.Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical.Degree,EnvironmentSatisfaction_Low,EnvironmentSatisfaction_Medium,EnvironmentSatisfaction_Very.High,Gender_Male,JobInvolvement_Low,JobInvolvement_Medium,JobInvolvement_Very.High,JobLevel_X2,JobLevel_X3,JobLevel_X4,JobLevel_X5,JobRole_Human.Resources,JobRole_Laboratory.Technician,JobRole_Manager,JobRole_Manufacturing.Director,JobRole_Research.Director,JobRole_Research.Scientist,JobRole_Sales.Executive,JobRole_Sales.Representative,JobSatisfaction_Low,JobSatisfaction_Medium,JobSatisfaction_Very.High,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,PerformanceRating_Outstanding,RelationshipSatisfaction_Low,RelationshipSatisfaction_Medium,RelationshipSatisfaction_Very.High,StockOptionLevel_X1,StockOptionLevel_X2,StockOptionLevel_X3,TrainingTimesLastYear_X1,TrainingTimesLastYear_X2,TrainingTimesLastYear_X3,TrainingTimesLastYear_X4,TrainingTimesLastYear_X5,TrainingTimesLastYear_X6,WorkLifeBalance_Best,WorkLifeBalance_Better,WorkLifeBalance_Good
0,1.3219153536033088,-1.2973331068840257,-0.1470996605736064,-0.24059489328806888,-0.2916193490658111,1.4883696325039732,1,23,-0.16445543521178413,0.48834154112957734,0.7647373733882553,-0.36858985273641137,0.8062670960724398,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,-0.42951823792157984,1.4609689987085528,-0.7638609299495376,-0.4865437758565401,-0.7633738919226185,1.242787651087327,1,11,-0.4214990181584324,0.16189221622713135,0.7647373733882553,0.2520597274726662,-1.1555414682655611,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-1.0863058347434131,-0.5241163441303109,-0.8872131838247239,-1.2735802000756478,-0.6446387323292123,0.32578902825755074,9,12,-0.6785426011050806,-0.8174557584802066,-0.6152821931238183,-0.0582650626318726,-0.5950247355975609,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,-0.5389828373918853,0.5018828218313489,-0.8872131838247239,0.6448210839584273,-0.7296012794443509,-0.34408218878739694,0,13,-0.4214990181584324,-0.0013324462240916321,0.7647373733882553,0.2520597274726662,0.5260087297384397,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2.416561348306364,1.2924473965699226,-0.7638609299495376,0.7432006369858157,-0.814139013823914,-0.6110191251098384,4,20,0.09258814773486411,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,-0.7579120363324965,1.3767081976392377,1.8265364014293735,0.054543765794096505,-0.8092536673647934,-0.1374168028240752,1,22,-1.3211515584717013,-0.9806804209314296,-1.1672900197286478,-0.6789146428409502,-1.1555414682655611,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0.11780475942994784,-1.4534634147477565,1.7031841475541873,-1.076821094020871,0.6421190437295629,-0.7763795325053718,0,21,-0.16445543521178413,0.32511687867835437,0.7647373733882553,-0.36858985273641137,1.08652546240644,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,-0.10112443951066324,1.2304909251954261,2.1965931630549322,1.3826677316638407,-0.2688918677125115,0.318061906416638,6,13,0.7351971051014847,-0.0013324462240916321,0.7647373733882553,1.4933588878908215,0.8062670960724398,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,-0.21058903898096878,0.01614408625529739,0.8397183704278836,0.8907699665268984,-0.8659661675641485,0.30429358022737524,0,13,-0.6785426011050806,-0.3277817711265376,-0.06327436651898884,-0.6789146428409502,-0.3147663692635607,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,-0.867376635802802,-1.6095937226114874,0.7163661165526973,-0.8308722114523996,-0.4906441156830234,-0.22915881304436692,0,12,-0.16445543521178413,0.32511687867835437,0.2127295467834259,-0.6789146428409502,1.08652546240644,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
